Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
Airport: [YYR] Goose Bay, Canada
Airport: [RSW] Southwest Florida Intl, United States
Airport: [SUV] Nausori Intl, Fiji
Airport: [RAR] Rarotonga Intl, Cook Islands
Airport: [ABQ] Albuquerque International Sunport, United States
Airport: [SAH] Sanaa Intl, Yemen
Airport: [BOD] Merignac, France
Airport: [MRU] Sir Seewoosagur Ramgoolam Intl, Mauritius
Airport: [CGQ] Changchun, China
Airport: [CAG] Elmas, Italy
Airport: [TOS] Langnes, Norway
Airport: [DUT] Unalaska, United States
Airport: [PMO] Palermo, Italy
Airport: [LHE] Allama Iqbal Intl, Pakistan
Airport: [SON] Santo Pekoa International Airport, Vanuatu
Airport: [LPL] Liverpool, United Kingdom
Airport: [TSV] Townsville, Australia
Airport: [AUA] Reina Beatrix Intl, Aruba
Airport: [MSQ] Minsk 2, Belarus
Airport: [AZA] Phoenix-Mesa Gateway, United States
Airport: [YEV] Inuvik Mike Zubko, Canada
Airport: [SOF] Sofia, Bulgaria
Airport: [CUR] Hato, Netherlands Antilles
Airport: [VVI] Viru Viru Intl, Bolivia
Airport: [LIN] Linate, Italy
Airport: [GOH] Nuuk, Greenland
Airport: [CLO] Alfonso Bonilla Aragon Intl, Colombia
Airport: [INC] Yinchuan, China
Airport: [EIN] Eindhoven, Netherlands
Airport: [DLM] Dalaman, Turkey
Airport: [TIJ] General Abelardo L Rodriguez Intl, Mexico
Airport: [SJW] Shijiazhuang Daguocun International Airport, China
Airport: [NGB] Lishe, China
Airport: [BOJ] Burgas, Bulgaria
Airport: [VNO] Vilnius Intl, Lithuania
Airport: [VVO] Knevichi, Russia
Airport: [TLL] Tallinn, Estonia
Airport: [SYQ] Tobias Bolanos International Airport, Costa Rica
Airport: [SNA] John Wayne Arpt Orange Co, United States
Airport: [OOL] Gold Coast, Australia
Airport: [YVP] Kuujjuaq, Canada
Airport: [SJD] Los Cabos Intl, Mexico
Airport: [FNC] Madeira, Portugal
Airport: [IKA] Imam Khomeini, Iran
Airport: [BVA] Tille, France
Airport: [GMP] Gimpo, South Korea
Airport: [KHH] Kaohsiung Intl, Taiwan
Airport: [HHN] Frankfurt Hahn, Germany
Airport: [GAU] Lokpriya Gopinath Bordoloi International Airport, India
